world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year,country-iso
401-500,University of Ioannina,Greece,14.5,36.9,17.7,56.4,32.9,-,"20,825",36.3,4%,58 : 42,2016,GRC
401-500,Johannes Kepler University of Linz,Austria,19.2,58.5,13.8,51.6,37.4,-,"19,646",29.1,10%,48 : 52,2016,AUT
401-500,University of Kaiserslautern,Germany,29.6,44.1,22.6,47.5,80.2,-,"14,184",54.4,14%,36 : 64,2016,DEU
401-500,Keele University,United Kingdom,20.0,72.7,17.6,53.0,29.3,-,"8,397",15.7,20%,55 : 45,2016,GBR
401-500,Marche Polytechnic University,Italy,15.2,27.3,11.0,80.2,28.0,-,"16,589",23.0,4%,45 : 55,2016,ITA
401-500,University of Nantes,France,19.6,35.1,12.2,69.4,-,-,"33,866",22.2,11%,56 : 44,2016,FRA
401-500,National and Kapodistrian University of Athens,Greece,26.7,39.0,16.3,45.8,-,-,"63,052",32.3,9%,61 : 39,2016,GRC
401-500,National Institute of Applied Sciences of Lyon (INSA Lyon),France,27.0,63.6,10.6,41.8,40.3,-,"6,137",8.2,31%,31 : 69,2016,FRA
401-500,University of Neuchâtel,Switzerland,24.2,91.4,14.7,48.2,-,-,"4,358",8.5,22%,59 : 41,2016,CHE
401-500,New University of Lisbon,Portugal,26.9,44.5,21.9,38.3,41.3,-,"18,867",17.9,7%,49 : 51,2016,PRT
401-500,University of Nice Sophia Antipolis,France,21.4,79.5,16.1,53.7,28.5,-,"27,304",20.3,22%,56 : 44,2016,FRA
401-500,The Open University,United Kingdom,21.0,51.5,13.8,60.3,28.4,-,"76,683",35.9,9%,61 : 39,2016,GBR
401-500,Oxford Brookes University,United Kingdom,25.7,68.9,18.8,42.7,28.4,-,"14,238",18.5,25%,57 : 43,2016,GBR
401-500,University of Palermo,Italy,15.3,23.6,9.1,77.4,28.0,-,"43,875",22.4,1%,60 : 40,2016,ITA
401-500,University of Parma,Italy,17.7,36.8,16.6,56.4,37.1,-,"26,937",29.1,7%,56 : 44,2016,ITA
401-500,University of Pisa,Italy,21.6,31.1,18.9,64.5,31.4,-,"47,247",18.0,4%,52 : 48,2016,ITA
401-500,Polytechnic University of Catalonia,Spain,25.2,63.9,14.8,44.7,40.9,-,"22,893",11.7,28%,12 : 88,2016,ESP
401-500,University of Porto,Portugal,32.0,45.4,28.2,37.2,38.7,-,"32,720",18.8,9%,54 : 46,2016,PRT
401-500,University of Portsmouth,United Kingdom,17.2,79.3,10.9,58.2,28.9,-,"20,161",19.1,23%,45 : 55,2016,GBR
401-500,University of Rome II – Tor Vergata,Italy,23.5,36.5,17.2,64.5,34.7,-,"33,504",26.5,6%,52 : 48,2016,ITA
401-500,University of Rovira i Virgili,Spain,20.8,41.5,14.8,66.9,30.9,-,"12,533",12.8,9%,61 : 39,2016,ESP
401-500,University of Salento,Italy,29.6,24.5,13.2,53.0,36.2,-,"19,959",58.4,1%,64 : 36,2016,ITA
401-500,University of Siena,Italy,23.7,39.0,17.8,45.2,33.2,-,"18,846",23.6,5%,59 : 41,2016,ITA
401-500,University of Strathclyde,United Kingdom,25.9,71.0,28.0,31.8,44.1,-,"15,705",20.2,20%,50 : 50,2016,GBR
401-500,University of Tampere,Finland,23.5,41.9,13.7,63.7,40.0,-,"10,045",9.5,4%,66 : 34,2016,FIN
401-500,Tampere University of Technology,Finland,23.1,54.0,17.2,45.5,67.5,-,"6,147",15.5,13%,23 : 77,2016,FIN
401-500,Ulster University,United Kingdom,19.1,79.0,13.2,44.1,29.2,-,"19,622",15.8,15%,55 : 45,2016,GBR
401-500,University of Urbino Carlo Bo,Italy,17.2,35.0,8.7,66.8,31.2,-,"13,435",37.4,7%,61 : 39,2016,ITA
401-500,University of Valencia,Spain,22.7,40.5,16.9,49.6,31.3,-,"58,413",15.4,9%,60 : 40,2016,ESP
501-600,University of the Basque Country,Spain,18.2,34.9,11.9,43.1,30.3,-,"46,373",15.3,5%,53 : 47,2016,ESP
501-600,Blaise Pascal University,France,20.2,66.6,2.9,46.9,-,-,"15,619",7.1,17%,55 : 45,2016,FRA
501-600,University of Burgundy,France,21.4,50.9,8.8,46.3,-,-,"26,612",20.8,11%,54 : 46,2016,FRA
501-600,University of Catania,Italy,19.2,25.3,15.9,52.9,29.5,-,"55,859",49.7,1%,61 : 39,2016,ITA
501-600,Czech Technical University in Prague,Czech Republic,20.6,25.0,9.3,46.5,28.2,-,"22,751",12.0,,-,2016,CZE
501-600,De Montfort University,United Kingdom,16.8,58.4,10.1,40.1,28.5,-,"16,812",19.1,21%,57 : 43,2016,GBR
501-600,University of Granada,Spain,24.3,36.4,14.7,45.8,29.4,-,"53,476",16.0,6%,56 : 44,2016,ESP
501-600,University of Hertfordshire,United Kingdom,15.5,78.9,9.5,50.5,29.3,-,"19,665",19.4,27%,54 : 46,2016,GBR
501-600,University of La Laguna,Spain,16.9,44.7,10.0,44.8,28.5,-,"22,422",14.9,5%,58 : 42,2016,ESP
501-600,Lappeenranta University of Technology,Finland,27.1,53.0,27.5,20.8,80.3,-,"3,486",23.9,19%,31 : 69,2016,FIN
501-600,University of Limerick,Republic of Ireland,19.8,76.5,16.3,36.6,34.0,-,"12,212",19.8,13%,46 : 54,2016,IRL
501-600,University of Lisbon,Portugal,25.9,46.6,18.3,32.4,35.4,-,"47,849",17.5,9%,51 : 49,2016,PRT
501-600,Liverpool John Moores University,United Kingdom,16.4,62.1,11.6,45.9,28.8,-,"18,513",19.8,13%,52 : 48,2016,GBR
501-600,Manchester Metropolitan University,United Kingdom,22.7,57.8,10.6,30.8,28.3,-,"28,037",18.2,14%,57 : 43,2016,GBR
501-600,University of Maribor,Slovenia,17.1,33.6,11.5,42.1,38.7,-,"14,531",17.3,4%,,2016,SVN
501-600,Masaryk University,Czech Republic,21.2,48.9,22.9,27.8,28.5,-,"40,898",26.6,17%,62 : 38,2016,CZE
501-600,University of Minho,Portugal,23.9,43.6,20.1,35.3,51.6,-,"19,090",18.8,9%,52 : 48,2016,PRT
501-600,National Technical University of Athens,Greece,20.2,31.3,15.0,36.2,40.3,-,"14,780",26.9,7%,36 : 64,2016,GRC
501-600,Otto von Guericke University of Magdeburg,Germany,22.9,43.9,14.4,39.7,37.7,-,"14,104",13.1,13%,42 : 58,2016,DEU
501-600,University of Oviedo,Spain,19.5,36.2,10.8,41.9,34.1,-,"24,210",13.7,5%,54 : 46,2016,ESP
501-600,Palacký University in Olomouc,Czech Republic,19.2,48.8,11.8,42.9,28.7,-,"18,540",11.4,9%,70 : 30,2016,CZE
501-600,Paris Dauphine University,France,21.9,69.3,11.1,27.6,30.6,-,"9,565",15.4,28%,53 : 47,2016,FRA
501-600,University of Rennes 1,France,17.8,53.0,10.3,44.7,31.7,-,"22,186",13.9,12%,50 : 50,2016,FRA
501-600,University of Salamanca,Spain,26.1,40.8,16.9,25.9,31.6,-,"31,035",17.9,12%,58 : 42,2016,ESP
501-600,University of Santiago de Compostela,Spain,22.9,37.1,14.1,46.9,32.3,-,"29,085",15.3,6%,63 : 37,2016,ESP
501-600,Semmelweis University,Hungary,19.6,81.7,10.6,41.5,30.7,-,"12,920",10.9,25%,64 : 36,2016,HUN
501-600,University of Seville,Spain,21.5,32.0,14.9,32.6,36.7,-,"64,931",17.5,7%,55 : 45,2016,ESP
501-600,Tallinn University of Technology,Estonia,16.3,37.9,15.0,38.7,44.8,-,"14,061",28.6,5%,44 : 56,2016,EST
501-600,University of Warsaw,Poland,26.1,41.6,15.8,42.2,28.5,-,"49,292",14.1,7%,67 : 33,2016,POL
501-600,University of Zaragoza,Spain,20.1,33.5,12.7,49.5,36.7,-,"31,046",11.8,5%,55 : 45,2016,ESP
601-800,University of A Coruña,Spain,18.3,23.4,10.0,16.6,38.2,-,"17,062",13.0,2%,52 : 48,2016,ESP
601-800,Adam Mickiewicz University,Poland,20.0,25.7,11.0,15.3,28.7,-,"40,633",15.6,1%,71 : 29,2016,POL
601-800,AGH University of Science and Technology,Poland,14.2,17.9,3.7,35.7,-,-,"35,569",17.0,1%,-,2016,POL
601-800,University of Alcalá,Spain,17.6,50.0,11.2,28.3,43.3,-,"30,812",25.1,18%,53 : 47,2016,ESP
601-800,Aristotle University of Thessaloniki,Greece,22.6,36.6,15.0,29.5,33.6,-,"46,288",22.2,9%,52 : 48,2016,GRC
601-800,Athens University of Economics and Business,Greece,13.4,39.2,18.8,31.2,66.5,-,"13,167",57.5,6%,47 : 53,2016,GRC
601-800,University of Belgrade,Serbia,20.4,30.5,13.2,14.0,45.6,-,"96,968",28.3,5%,60 : 40,2016,SRB
601-800,University of Bradford,United Kingdom,18.7,79.1,15.9,22.7,32.7,-,"11,065",20.5,32%,53 : 47,2016,GBR
601-800,University of Brighton,United Kingdom,16.7,62.8,10.7,20.1,29.4,-,"16,924",19.5,19%,58 : 42,2016,GBR
601-800,Budapest University of Technology and Economics,Hungary,17.1,30.4,13.7,21.6,39.7,-,"22,447",22.1,4%,32 : 68,2016,HUN
601-800,University of Castilla-La Mancha,Spain,18.4,28.6,10.3,30.5,29.7,-,"26,381",14.3,3%,56 : 44,2016,ESP
601-800,University of Central Lancashire,United Kingdom,15.7,54.1,9.4,28.2,28.9,-,"18,542",17.5,17%,57 : 43,2016,GBR
601-800,University of Cergy-Pontoise,France,18.7,49.1,6.3,13.2,28.6,-,"17,000",9.2,11%,53 : 47,2016,FRA
601-800,Carlos III University of Madrid,Spain,23.2,44.7,17.4,24.8,34.8,-,"15,730",11.4,9%,43 : 57,2016,ESP
601-800,"University of Chemistry and Technology, Prague",Czech Republic,21.6,46.3,12.0,17.4,38.9,-,"4,699",11.0,19%,,2016,CZE
601-800,Comenius University in Bratislava,Slovakia,23.0,46.9,10.3,19.6,28.0,-,"20,879",9.7,10%,54 : 46,2016,SVK
601-800,Coventry University,United Kingdom,17.1,69.6,7.7,18.4,29.1,-,"21,934",14.8,35%,47 : 53,2016,GBR
601-800,University of Debrecen,Hungary,17.3,49.0,11.4,20.9,-,-,"29,714",20.3,13%,57 : 43,2016,HUN
601-800,Dublin Institute of Technology,Republic of Ireland,16.1,70.5,8.8,20.7,28.1,-,"13,839",18.9,25%,41 : 59,2016,IRL
601-800,Eötvös Loránd University,Hungary,21.3,43.0,12.1,30.6,29.3,-,"28,698",22.4,4%,,2016,HUN
601-800,Gdańsk University of Technology,Poland,15.5,16.1,9.5,15.2,36.8,-,"25,217",23.3,1%,39 : 61,2016,POL
601-800,Glasgow Caledonian University,United Kingdom,17.1,55.0,10.4,24.2,29.9,-,"13,527",21.6,16%,60 : 40,2016,GBR
601-800,University of Greenwich,United Kingdom,15.7,81.8,9.5,17.7,30.0,-,"18,096",24.6,32%,53 : 47,2016,GBR
601-800,University of Huddersfield,United Kingdom,17.4,55.2,5.4,16.5,28.0,-,"15,436",18.1,25%,54 : 46,2016,GBR
601-800,Jagiellonian University,Poland,24.0,33.5,14.4,30.7,28.0,-,"42,835",11.5,5%,67 : 33,2016,POL
601-800,Kingston University,United Kingdom,16.9,76.8,12.1,26.7,28.5,-,"20,778",20.9,34%,53 : 47,2016,GBR
601-800,University of Latvia,Latvia,22.6,31.5,10.2,20.9,28.3,-,"15,100",26.5,3%,68 : 32,2016,LVA
601-800,Lille 1 University – Science and Technology,France,20.0,60.3,8.6,32.4,31.8,-,"19,599",14.5,18%,41 : 59,2016,FRA
601-800,University of Lincoln,United Kingdom,17.9,60.5,11.9,26.4,29.3,-,"10,665",18.9,11%,54 : 46,2016,GBR
601-800,University of Ljubljana,Slovenia,24.9,34.5,13.6,24.0,32.3,-,"48,821",17.6,4%,60 : 40,2016,SVN
601-800,Middlesex University,United Kingdom,18.5,81.0,10.6,25.7,-,-,"17,753",24.7,44%,59 : 41,2016,GBR
601-800,University of Murcia,Spain,19.3,28.3,11.7,28.0,29.5,-,"31,460",15.8,6%,62 : 38,2016,ESP
601-800,Northumbria University,United Kingdom,17.7,55.1,10.9,29.2,29.1,-,"22,750",19.3,16%,55 : 45,2016,GBR
601-800,Nottingham Trent University,United Kingdom,16.5,52.7,8.9,27.3,28.4,-,"21,852",17.4,18%,55 : 45,2016,GBR
601-800,University of Pardubice,Czech Republic,15.9,23.4,11.9,11.1,28.3,-,"10,671",19.8,4%,55 : 45,2016,CZE
601-800,University of Paris North – Paris 13,France,17.5,46.4,11.6,36.2,28.0,-,"23,026",23.4,22%,60 : 40,2016,FRA
601-800,Paris-Sorbonne University – Paris 4,France,31.1,44.2,21.3,7.1,28.5,-,"21,580",27.4,21%,69 : 31,2016,FRA
601-800,University of Patras,Greece,18.5,30.6,12.1,28.8,48.3,-,"29,251",40.9,4%,46 : 54,2016,GRC
601-800,University of Pécs,Hungary,19.7,50.8,9.0,23.4,28.4,-,"21,819",15.4,10%,,2016,HUN
601-800,Polytechnic University of Valencia,Spain,20.3,32.9,12.7,34.3,43.8,-,"33,172",13.6,7%,36 : 64,2016,ESP
601-800,University of Salford,United Kingdom,20.8,66.4,12.1,21.2,28.8,-,"16,152",17.0,25%,51 : 49,2016,GBR
601-800,Sheffield Hallam University,United Kingdom,17.3,47.0,9.4,20.1,28.6,-,"27,477",18.8,15%,53 : 47,2016,GBR
601-800,University of Silesia in Katowice,Poland,17.7,18.5,8.0,20.4,28.1,-,"32,764",17.3,1%,65 : 35,2016,POL
601-800,Slovak University of Technology in Bratislava,Slovakia,23.3,30.6,8.6,24.9,33.2,-,"16,400",15.3,2%,31 : 69,2016,SVK
601-800,University of Szeged,Hungary,20.0,46.9,10.5,20.5,33.2,-,"22,684",13.8,9%,58 : 42,2016,HUN
601-800,Technical University of Madrid,Spain,21.8,39.5,14.6,24.5,38.3,-,"41,500",13.8,11%,32 : 68,2016,ESP
601-800,University of Vigo,Spain,18.4,30.7,10.5,31.8,38.1,-,"22,793",19.0,3%,51 : 49,2016,ESP
601-800,Vilnius University,Lithuania,18.3,40.8,13.6,26.1,41.0,-,"19,019",14.2,4%,65 : 35,2016,LTU
601-800,Warsaw University of Technology,Poland,19.4,20.7,8.5,40.3,47.4,-,"34,572",14.5,3%,34 : 66,2016,POL
601-800,University of West Bohemia,Czech Republic,16.3,23.1,9.7,29.8,32.1,-,"15,639",21.5,2%,52 : 48,2016,CZE
601-800,University of the West of England,United Kingdom,16.9,48.5,11.2,34.6,28.5,-,"22,525",21.4,15%,53 : 47,2016,GBR
601-800,University of Westminster,United Kingdom,17.3,81.9,11.7,21.1,28.5,-,"16,609",21.0,43%,57 : 43,2016,GBR
